process,Process ID,Machine ID,Start Date ,END DATE
Component Integration,SAWM3036_FA_WM128,MAII1017ECME3020079,11/30/2020,12/20/2020
Electrical Testing,SAWM3042_FA_WM134,MAII1017ECME3020080,9/22/2020,01/22/2021
Complaince,SAWM3042_FA_WM135,MAII1017ECME3020081,11/26/2020,12/11/2020
Certification Standards,SAWM3042_FA_WM136,MAII1017ECME3020082,8/3/2020,12/16/2020
pivot dome,SAWM3042_FA_WM137,MAII1017ECME3020083,11/7/2020,01/24/2021
brake assembly,SAWM3042_FA_WM138,MAII1017ECME3020084,9/30/2020,12/30/2020
module,SAWM3042_FA_WM139,MAII1017ECME3020085,7/15/2020,12/29/2020
Powder Coating Process,SAWM3042_FA_WM140,MAII1017ECME3020086,11/27/2020,01/29/2021
Testing and Inspection,SAWM3042_FA_WM141,MAII1017ECME3020087,11/1/2020,01/21/2021
Component Integration,SAWM3042_FA_WM142,MAII1017ECME3020088,11/25/2020,12/07/2020
Electrical Testing,SAWM3042_FA_WM143,MAII1017ECME3020089,11/24/2020,12/12/2020
Complaince,SAWM3042_FA_WM144,MAII1017ECME3020090,11/6/2020,12/18/2020
Certification Standards,SAWM3042_FA_WM145,MAII1017ECME3020091,9/12/2020,12/21/2020
pivot dome,SAWM3042_FA_WM146,MAII1017ECME3020092,10/6/2020,12/08/2020
brake assembly,SAWM3042_FA_WM147,MAII1017ECME3020093,7/18/2020,12/25/2020
module,SAWM3042_FA_WM148,MAII1017ECME3020094,10/9/2020,12/16/2020
Powder Coating Process,SAWM3042_FA_WM149,MAII1017ECME3020095,11/16/2020,12/07/2020
Testing and Inspection,SAWM3042_FA_WM150,MAII1017ECME3020096,10/5/2020,01/16/2021
Component Integration,SAWM3042_FA_WM151,MAII1017ECME3020097,11/18/2020,01/22/2021
Electrical Testing,SAWM3042_FA_WM152,MAII1017ECME3020098,10/25/2020,12/22/2020
Complaince,SAWM3042_FA_WM153,MAII1017ECME3020099,11/23/2020,12/03/2020
Certification Standards,SAWM3042_FA_WM154,MAII1017ECME3020100,10/2/2020,02/01/2021
pivot dome,SAWM3042_FA_WM155,MAII1017ECME3020101,10/23/2020,12/20/2020
brake assembly,SAWM3042_FA_WM156,MAII1017ECME3020102,10/4/2020,12/28/2020
Component Integration,SAWM3042_FA_WM160,MAII1017ECME3020106,9/20/2020,01/23/2021
Electrical Testing,SAWM3042_FA_WM161,MAII1017ECME3020107,11/6/2020,1/20/2021
Complaince,SAWM3042_FA_WM162,MAII1017ECME3020108,11/29/2020,1/5/2021
pivot dome,SAWM3042_FA_WM164,MAII1017ECME3020110,9/3/2020,12/23/2020
module,SAWM3042_FA_WM166,MAII1017ECME3020112,10/11/2020,01/03/2021
Powder Coating Process,SAWM3042_FA_WM167,MAII1017ECME3020113,7/24/2020,12/04/2020
Testing and Inspection,SAWM3042_FA_WM168,MAII1017ECME3020114,8/28/2020,12/07/2020